claim,label
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",CONTRADICT
A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,CONTRADICT
A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,SUPPORT
ADAR1 binds to Dicer to cleave pre-miRNA.,SUPPORT
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,SUPPORT
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,SUPPORT
Activation of PPM1D enhances p53 function.,CONTRADICT
Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,SUPPORT
Active Ly49Q prevents neutrophil polarization.,CONTRADICT
Active caspase-11 protein promotes pyroptosis.,SUPPORT
Aggravated inflammation is dependent on NLRP3 inflammasome activation.,SUPPORT
Alirocumab treatment reduces apo(a) fractional clearance rate.,CONTRADICT
Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,CONTRADICT
Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,SUPPORT
Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,CONTRADICT
Articles published in open access format are less likely to be cited than traditional journals.,CONTRADICT
"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",SUPPORT
Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT
Bariatric surgery increases rates of colorectal cancer.,SUPPORT
Bariatric surgery leads to negative outcomes in mental health.,CONTRADICT
COPI coatmer is involved in lipid homeostasis.,SUPPORT
Cardiac tissue-resident macrophages directly contribute to electrical activity.,SUPPORT
Cell autonomous sex determination in somatic cells occurs in Galliformes.,SUPPORT
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,CONTRADICT
Charcoal is an effective treatment for acute paraquat poisoning.,CONTRADICT
Chenodeosycholic acid treatment increases whole-body energy expenditure.,SUPPORT
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,CONTRADICT
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",SUPPORT
Clathrin stabilizes the spindle fiber apparatus during mitosis.,SUPPORT
Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,SUPPORT
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,SUPPORT
Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,CONTRADICT
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,CONTRADICT
DRD1 proteins enable Pol V transcription in vivo.,SUPPORT
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,SUPPORT
Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,CONTRADICT
Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,SUPPORT
Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,SUPPORT
Egr2 regulates the homeostasis of B and T cells.,SUPPORT
Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,SUPPORT
Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,SUPPORT
Exercise reduces cancer mortality rates among Chinese citizens.,SUPPORT
Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,SUPPORT
Forkhead 0 (fox0) transcription factors are involved in apoptosis.,SUPPORT
Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,SUPPORT
GATA-3 is important for hematopoietic stem cell (HSC) function.,SUPPORT
GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,SUPPORT
Gene expression does not vary appreciably across genetically identical cells.,CONTRADICT
"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",SUPPORT
Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,CONTRADICT
Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,SUPPORT
Headaches are not correlated with cognitive impairment.,SUPPORT
High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,CONTRADICT
"Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.",CONTRADICT
Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,SUPPORT
Hypocretin neurones induce panicprone state in rats.,SUPPORT
Hypothalamic glutamate neurotransmission is unrelated to energy balance.,CONTRADICT
IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,CONTRADICT
"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.",CONTRADICT
